item_name,kind_name,rank,unit,day1,dpr1,item_code,rank_code,day2,dpr2,day3,dpr3,day4,dpr4,day5,dpr5,day6,dpr6,day7,dpr7
쌀,20kg(1kg),상품,20kg,당일 (06/22),-,111,04,1일전 (06/21),"2,624",1주일전 (06/15),-,2주일전 (06/08),-,1개월전,"2,679",1년전,"2,476",일평년,"2,557"
찹쌀,일반계(1kg),상품,1kg,당일 (06/22),-,112,04,1일전 (06/21),"4,198",1주일전 (06/15),-,2주일전 (06/08),-,1개월전,"3,972",1년전,"3,599",일평년,"4,329"
콩,흰 콩(국산)(1kg),상품,500g,당일 (06/22),-,141,04,1일전 (06/21),"10,620",1주일전 (06/15),-,2주일전 (06/08),-,1개월전,"10,655",1년전,"11,077",일평년,"10,750"
팥,붉은 팥(국산)(1kg),상품,500g,당일 (06/22),-,142,04,1일전 (06/21),"20,751",1주일전 (06/15),-,2주일전 (06/08),-,1개월전,"18,953",1년전,"15,126",일평년,"16,403"
녹두,국산(1kg),상품,500g,당일 (06/22),-,143,04,1일전 (06/21),"25,523",1주일전 (06/15),-,2주일전 (06/08),-,1개월전,"25,409",1년전,"20,910",일평년,"17,701"
고구마,밤(1kg),상품,1kg,당일 (06/22),-,151,04,1일전 (06/21),"5,926",1주일전 (06/15),-,2주일전 (06/08),-,1개월전,"6,025",1년전,"5,640",일평년,"6,428"
감자,수미(노지)(1kg),상품,100g,당일 (06/22),-,152,04,1일전 (06/21),"3,289",1주일전 (06/15),-,2주일전 (06/08),-,1개월전,-,1년전,"4,551",일평년,"3,633"
메밀,메밀(수입)(1kg),중품,1kg,당일 (06/22),-,144,05,1일전 (06/21),"3,000",1주일전 (06/15),-,2주일전 (06/08),-,1개월전,"3,000",1년전,"3,920",일평년,"3,380"
양배추,양배추(1포기),상품,1포기,당일 (06/22),-,212,04,1일전 (06/21),"3,976",1주일전 (06/15),-,2주일전 (06/08),-,1개월전,"5,642",1년전,"3,937",일평년,"3,410"
시금치,시금치(1kg),상품,100g,당일 (06/22),-,213,04,1일전 (06/21),"7,782",1주일전 (06/15),-,2주일전 (06/08),-,1개월전,"6,650",1년전,"8,789",일평년,"6,571"
상추,적(1kg),상품,100g,당일 (06/22),-,214,04,1일전 (06/21),"9,904",1주일전 (06/15),-,2주일전 (06/08),-,1개월전,"8,099",1년전,"11,060",일평년,"10,014"
적상추,적(1kg),상품,100g,당일 (06/22),-,214,04,1일전 (06/21),"9,904",1주일전 (06/15),-,2주일전 (06/08),-,1개월전,"8,099",1년전,"11,060",일평년,"10,014"
청상추,청(1kg),상품,100g,당일 (06/22),-,214,04,1일전 (06/21),"10,170",1주일전 (06/15),-,2주일전 (06/08),-,1개월전,"9,321",1년전,"11,440",일평년,"9,941"
얼갈이배추,얼갈이배추(1kg),상품,1kg,당일 (06/22),-,215,04,1일전 (06/21),"2,306",1주일전 (06/15),-,2주일전 (06/08),-,1개월전,"2,616",1년전,"2,183",일평년,"2,026"
수박,수박(1개),상품,1개,당일 (06/22),-,221,04,1일전 (06/21),"21,571",1주일전 (06/15),-,2주일전 (06/08),-,1개월전,"23,386",1년전,"19,547",일평년,"17,940"
참외,참외(10개),상품,10개,당일 (06/22),-,222,04,1일전 (06/21),"14,130",1주일전 (06/15),-,2주일전 (06/08),-,1개월전,"20,174",1년전,"19,360",일평년,"16,851"
오이,가시계통(10개),상품,10개,당일 (06/22),-,223,04,1일전 (06/21),"9,280",1주일전 (06/15),-,2주일전 (06/08),-,1개월전,"11,779",1년전,"14,302",일평년,"9,810"
가시오이,가시계통(10개),상품,10개,당일 (06/22),-,223,04,1일전 (06/21),"9,280",1주일전 (06/15),-,2주일전 (06/08),-,1개월전,"11,779",1년전,"14,302",일평년,"9,810"
다다기오이,다다기계통(10개),상품,10개,당일 (06/22),-,223,04,1일전 (06/21),"5,842",1주일전 (06/15),-,2주일전 (06/08),-,1개월전,"6,768",1년전,"7,365",일평년,"6,464"
취청오이,취청(10개),상품,10개,당일 (06/22),-,223,04,1일전 (06/21),"9,233",1주일전 (06/15),-,2주일전 (06/08),-,1개월전,"11,601",1년전,"10,499",일평년,"8,256"
애호박,애호박(1개),상품,1개,당일 (06/22),-,224,04,1일전 (06/21),"1,039",1주일전 (06/15),-,2주일전 (06/08),-,1개월전,"1,303",1년전,"1,305",일평년,"1,204"
쥬키니,쥬키니(1개),상품,1개,당일 (06/22),-,224,04,1일전 (06/21),"1,187",1주일전 (06/15),-,2주일전 (06/08),-,1개월전,"1,458",1년전,"1,315",일평년,"1,193"
토마토,토마토(1kg),상품,1kg,당일 (06/22),-,225,04,1일전 (06/21),"4,077",1주일전 (06/15),-,2주일전 (06/08),-,1개월전,"5,480",1년전,"4,381",일평년,"3,709"
무,봄(1개),상품,1개,당일 (06/22),-,231,04,1일전 (06/21),"2,032",1주일전 (06/15),-,2주일전 (06/08),-,1개월전,"2,080",1년전,"1,810",일평년,"1,749"
당근,무세척(1kg),상품,1kg,당일 (06/22),-,232,04,1일전 (06/21),"5,850",1주일전 (06/15),-,2주일전 (06/08),-,1개월전,"4,489",1년전,"4,286",일평년,"3,494"
열무,열무(1kg),상품,1kg,당일 (06/22),-,233,04,1일전 (06/21),"2,171",1주일전 (06/15),-,2주일전 (06/08),-,1개월전,"2,736",1년전,"2,249",일평년,"2,203"
건고추,화건(1kg),상품,600g,당일 (06/22),-,241,04,1일전 (06/21),"35,500",1주일전 (06/15),-,2주일전 (06/08),-,1개월전,"35,500",1년전,"33,333",일평년,"30,750"
고추,풋고추(녹광 등)(1kg),상품,100g,당일 (06/22),-,242,04,1일전 (06/21),"12,607",1주일전 (06/15),-,2주일전 (06/08),-,1개월전,"13,616",1년전,"14,629",일평년,"12,110"
