item_name,kind_name,rank,unit,day1,dpr1,item_code,rank_code,day2,dpr2,day3,dpr3,day4,dpr4,day5,dpr5,day6,dpr6,day7,dpr7
쌀,20kg(1kg),상품,20kg,당일 (04/05),"2,452",111,04,1일전 (04/04),"2,441",1주일전 (03/29),"2,399",2주일전 (03/22),"2,559",1개월전,"41,132",1년전,"51,306",일평년,"52,261"
찹쌀,일반계(1kg),상품,1kg,당일 (04/05),"3,774",112,04,1일전 (04/04),"3,774",1주일전 (03/29),"4,130",2주일전 (03/22),"3,911",1개월전,"3,841",1년전,"3,637",일평년,"4,573"
콩,흰 콩(국산)(1kg),상품,500g,당일 (04/05),"10,654",141,04,1일전 (04/04),"10,654",1주일전 (03/29),"10,654",2주일전 (03/22),"10,626",1개월전,"5,365",1년전,"5,530",일평년,"5,272"
팥,붉은 팥(국산)(1kg),상품,500g,당일 (04/05),"20,300",142,04,1일전 (04/04),"20,300",1주일전 (03/29),"19,029",2주일전 (03/22),"17,718",1개월전,"8,856",1년전,"7,911",일평년,"8,367"
녹두,국산(1kg),상품,500g,당일 (04/05),"24,589",143,04,1일전 (04/04),"24,589",1주일전 (03/29),"24,589",2주일전 (03/22),"25,446",1개월전,"12,131",1년전,"10,220",일평년,"9,285"
고구마,밤(1kg),상품,1kg,당일 (04/05),"5,457",151,04,1일전 (04/04),"5,733",1주일전 (03/29),"5,477",2주일전 (03/22),"5,143",1개월전,"5,445",1년전,"5,235",일평년,"5,335"
감자,수미(노지)(1kg),상품,100g,당일 (04/05),"3,910",152,04,1일전 (04/04),"3,910",1주일전 (03/29),"3,910",2주일전 (03/22),"4,340",1개월전,377,1년전,662,일평년,508
메밀,메밀(수입)(1kg),중품,1kg,당일 (04/05),"3,000",144,05,1일전 (04/04),"3,000",1주일전 (03/29),"3,020",2주일전 (03/22),"2,950",1개월전,"3,933",1년전,"4,575",일평년,"3,636"
양배추,양배추(1포기),상품,1포기,당일 (04/05),"4,814",212,04,1일전 (04/04),"4,749",1주일전 (03/29),"5,374",2주일전 (03/22),"3,875",1개월전,"3,903",1년전,"3,806",일평년,"3,673"
시금치,시금치(1kg),상품,100g,당일 (04/05),"7,309",213,04,1일전 (04/04),"7,392",1주일전 (03/29),"6,384",2주일전 (03/22),"6,732",1개월전,861,1년전,654,일평년,574
상추,적(1kg),상품,100g,당일 (04/05),"8,048",214,04,1일전 (04/04),"8,271",1주일전 (03/29),"8,408",2주일전 (03/22),"9,359",1개월전,"1,127",1년전,"1,034",일평년,813
적상추,적(1kg),상품,100g,당일 (04/05),"8,048",214,04,1일전 (04/04),"8,271",1주일전 (03/29),"8,408",2주일전 (03/22),"9,359",1개월전,"1,127",1년전,"1,034",일평년,813
청상추,청(1kg),상품,100g,당일 (04/05),"7,828",214,04,1일전 (04/04),"7,790",1주일전 (03/29),"8,800",2주일전 (03/22),"9,315",1개월전,"1,239",1년전,"1,022",일평년,871
얼갈이배추,얼갈이배추(1kg),상품,1kg,당일 (04/05),"3,898",215,04,1일전 (04/04),"3,743",1주일전 (03/29),"3,900",2주일전 (03/22),"3,984",1개월전,"3,614",1년전,"3,303",일평년,"2,675"
수박,수박(1개),상품,1개,당일 (04/05),"30,260",221,04,1일전 (04/04),"32,440",1주일전 (03/29),"31,650",2주일전 (03/22),"32,350",1개월전,"31,209",1년전,"27,680",일평년,"24,501"
참외,참외(10개),상품,10개,당일 (04/05),"30,643",222,04,1일전 (04/04),"33,339",1주일전 (03/29),"31,796",2주일전 (03/22),-,1개월전,-,1년전,"34,330",일평년,"28,275"
오이,가시계통(10개),상품,10개,당일 (04/05),"15,780",223,04,1일전 (04/04),"15,780",1주일전 (03/29),"20,780",2주일전 (03/22),"22,950",1개월전,"23,434",1년전,"15,547",일평년,"10,739"
가시오이,가시계통(10개),상품,10개,당일 (04/05),"15,780",223,04,1일전 (04/04),"15,780",1주일전 (03/29),"20,780",2주일전 (03/22),"22,950",1개월전,"23,434",1년전,"15,547",일평년,"10,739"
다다기오이,다다기계통(10개),상품,10개,당일 (04/05),"9,568",223,04,1일전 (04/04),"9,568",1주일전 (03/29),"10,862",2주일전 (03/22),"9,016",1개월전,"15,608",1년전,"9,511",일평년,"8,109"
취청오이,취청(10개),상품,10개,당일 (04/05),"16,713",223,04,1일전 (04/04),"15,856",1주일전 (03/29),"15,784",2주일전 (03/22),"15,492",1개월전,"22,981",1년전,"15,606",일평년,"11,207"
애호박,애호박(1개),상품,1개,당일 (04/05),"1,690",224,04,1일전 (04/04),"1,758",1주일전 (03/29),"2,214",2주일전 (03/22),"1,894",1개월전,"2,683",1년전,"2,016",일평년,"1,528"
쥬키니,쥬키니(1개),상품,1개,당일 (04/05),"2,863",224,04,1일전 (04/04),"2,697",1주일전 (03/29),"2,737",2주일전 (03/22),"3,653",1개월전,"3,765",1년전,"1,709",일평년,"1,534"
토마토,토마토(1kg),상품,1kg,당일 (04/05),"7,636",225,04,1일전 (04/04),"7,636",1주일전 (03/29),"7,244",2주일전 (03/22),"7,402",1개월전,"8,939",1년전,"6,707",일평년,"5,467"
무,월동(1개),상품,1개,당일 (04/05),"1,876",231,04,1일전 (04/04),"1,910",1주일전 (03/29),"1,864",2주일전 (03/22),"1,687",1개월전,"1,907",1년전,"1,934",일평년,"1,554"
당근,무세척(1kg),상품,1kg,당일 (04/05),"5,232",232,04,1일전 (04/04),"5,323",1주일전 (03/29),"4,311",2주일전 (03/22),"3,879",1개월전,"4,337",1년전,"4,778",일평년,"3,711"
열무,열무(1kg),상품,1kg,당일 (04/05),"3,418",233,04,1일전 (04/04),"3,336",1주일전 (03/29),"3,673",2주일전 (03/22),"3,810",1개월전,"3,412",1년전,"3,160",일평년,"2,708"
건고추,화건(1kg),상품,600g,당일 (04/05),"35,500",241,04,1일전 (04/04),"35,500",1주일전 (03/29),"36,250",2주일전 (03/22),"34,917",1개월전,"18,461",1년전,"16,309",일평년,"15,599"
고추,풋고추(녹광 등)(1kg),상품,100g,당일 (04/05),"17,467",242,04,1일전 (04/04),"19,222",1주일전 (03/29),"23,222",2주일전 (03/22),"25,667",1개월전,"2,272",1년전,"1,480",일평년,"1,348"
풋고추,풋고추(녹광 등)(1kg),상품,100g,당일 (04/05),"17,467",242,04,1일전 (04/04),"19,222",1주일전 (03/29),"23,222",2주일전 (03/22),"25,667",1개월전,"2,272",1년전,"1,480",일평년,"1,348"
