item_name,kind_name,rank,unit,day1,dpr1,item_code,rank_code,day2,dpr2,day3,dpr3,day4,dpr4,day5,dpr5,day6,dpr6,day7,dpr7
쌀,20kg(1kg),상품,20kg,당일 (10/21),-,111,04,1일전 (10/20),"2,993",1주일전 (10/14),-,2주일전 (10/07),-,1개월전,"2,746",1년전,"2,376",일평년,"2,625"
찹쌀,일반계(1kg),상품,1kg,당일 (10/21),-,112,04,1일전 (10/20),"3,487",1주일전 (10/14),-,2주일전 (10/07),-,1개월전,"3,584",1년전,"3,685",일평년,"4,436"
콩,흰 콩(국산)(1kg),상품,500g,당일 (10/21),-,141,04,1일전 (10/20),"10,091",1주일전 (10/14),-,2주일전 (10/07),-,1개월전,"10,091",1년전,"12,204",일평년,"10,549"
팥,붉은 팥(국산)(1kg),상품,500g,당일 (10/21),-,142,04,1일전 (10/20),"15,967",1주일전 (10/14),-,2주일전 (10/07),-,1개월전,"16,220",1년전,"16,157",일평년,"15,963"
녹두,국산(1kg),상품,500g,당일 (10/21),-,143,04,1일전 (10/20),"24,723",1주일전 (10/14),-,2주일전 (10/07),-,1개월전,"24,412",1년전,"27,900",일평년,"18,459"
고구마,밤(1kg),상품,1kg,당일 (10/21),-,151,04,1일전 (10/20),"5,268",1주일전 (10/14),-,2주일전 (10/07),-,1개월전,"5,609",1년전,"5,322",일평년,"5,513"
감자,수미(노지)(1kg),상품,100g,당일 (10/21),-,152,04,1일전 (10/20),"3,703",1주일전 (10/14),-,2주일전 (10/07),-,1개월전,"3,414",1년전,"4,507",일평년,"3,205"
메밀,메밀(수입)(1kg),중품,1kg,당일 (10/21),-,144,05,1일전 (10/20),"3,400",1주일전 (10/14),-,2주일전 (10/07),-,1개월전,"3,400",1년전,"4,700",일평년,"2,967"
배추,여름(고랭지)(1포기),상품,1포기,당일 (10/21),-,211,04,1일전 (10/20),"5,596",1주일전 (10/14),-,2주일전 (10/07),-,1개월전,"6,073",1년전,"4,791",일평년,"4,375"
고랭지배추,여름(고랭지)(1포기),상품,1포기,당일 (10/21),-,211,04,1일전 (10/20),"5,596",1주일전 (10/14),-,2주일전 (10/07),-,1개월전,"6,073",1년전,"4,791",일평년,"4,375"
양배추,양배추(1포기),상품,1포기,당일 (10/21),-,212,04,1일전 (10/20),"5,342",1주일전 (10/14),-,2주일전 (10/07),-,1개월전,"5,489",1년전,"5,099",일평년,"4,860"
시금치,시금치(1kg),상품,100g,당일 (10/21),-,213,04,1일전 (10/20),"10,667",1주일전 (10/14),-,2주일전 (10/07),-,1개월전,"21,093",1년전,"9,361",일평년,"7,415"
상추,적(1kg),상품,100g,당일 (10/21),-,214,04,1일전 (10/20),"13,056",1주일전 (10/14),-,2주일전 (10/07),-,1개월전,"16,971",1년전,"10,763",일평년,"12,062"
적상추,적(1kg),상품,100g,당일 (10/21),-,214,04,1일전 (10/20),"13,056",1주일전 (10/14),-,2주일전 (10/07),-,1개월전,"16,971",1년전,"10,763",일평년,"12,062"
청상추,청(1kg),상품,100g,당일 (10/21),-,214,04,1일전 (10/20),"14,000",1주일전 (10/14),-,2주일전 (10/07),-,1개월전,"17,863",1년전,"11,507",일평년,"12,111"
얼갈이배추,얼갈이배추(1kg),상품,1kg,당일 (10/21),-,215,04,1일전 (10/20),"2,607",1주일전 (10/14),-,2주일전 (10/07),-,1개월전,"3,654",1년전,"2,647",일평년,"2,394"
수박,수박(1개),상품,1개,당일 (10/21),-,221,04,1일전 (10/20),"18,263",1주일전 (10/14),-,2주일전 (10/07),-,1개월전,"30,298",1년전,-,일평년,"20,168"
오이,가시계통(10개),상품,10개,당일 (10/21),-,223,04,1일전 (10/20),"16,615",1주일전 (10/14),-,2주일전 (10/07),-,1개월전,"16,450",1년전,"14,302",일평년,"12,883"
가시오이,가시계통(10개),상품,10개,당일 (10/21),-,223,04,1일전 (10/20),"16,615",1주일전 (10/14),-,2주일전 (10/07),-,1개월전,"16,450",1년전,"14,302",일평년,"12,883"
다다기오이,다다기계통(10개),상품,10개,당일 (10/21),-,223,04,1일전 (10/20),"10,697",1주일전 (10/14),-,2주일전 (10/07),-,1개월전,"10,742",1년전,"11,332",일평년,"8,617"
취청오이,취청(10개),상품,10개,당일 (10/21),-,223,04,1일전 (10/20),"12,440",1주일전 (10/14),-,2주일전 (10/07),-,1개월전,"12,308",1년전,"11,677",일평년,"9,622"
애호박,애호박(1개),상품,1개,당일 (10/21),-,224,04,1일전 (10/20),"1,429",1주일전 (10/14),-,2주일전 (10/07),-,1개월전,"1,844",1년전,"1,535",일평년,"1,362"
쥬키니,쥬키니(1개),상품,1개,당일 (10/21),-,224,04,1일전 (10/20),"2,487",1주일전 (10/14),-,2주일전 (10/07),-,1개월전,"2,463",1년전,"2,153",일평년,"1,905"
토마토,토마토(1kg),상품,1kg,당일 (10/21),-,225,04,1일전 (10/20),"12,156",1주일전 (10/14),-,2주일전 (10/07),-,1개월전,"8,436",1년전,"9,857",일평년,"7,482"
무,고랭지(1개),상품,1개,당일 (10/21),-,231,04,1일전 (10/20),"2,224",1주일전 (10/14),-,2주일전 (10/07),-,1개월전,"2,154",1년전,"3,462",일평년,"2,819"
당근,무세척(1kg),상품,1kg,당일 (10/21),-,232,04,1일전 (10/20),"5,330",1주일전 (10/14),-,2주일전 (10/07),-,1개월전,"6,206",1년전,"5,740",일평년,"4,960"
열무,열무(1kg),상품,1kg,당일 (10/21),-,233,04,1일전 (10/20),"2,740",1주일전 (10/14),-,2주일전 (10/07),-,1개월전,"3,886",1년전,"2,732",일평년,"2,626"
건고추,화건(1kg),상품,600g,당일 (10/21),-,241,04,1일전 (10/20),"30,633",1주일전 (10/14),-,2주일전 (10/07),-,1개월전,"32,608",1년전,"26,000",일평년,"28,034"
고추,풋고추(녹광 등)(1kg),상품,100g,당일 (10/21),-,242,04,1일전 (10/20),"18,478",1주일전 (10/14),-,2주일전 (10/07),-,1개월전,"17,398",1년전,"13,817",일평년,"11,883"
풋고추,풋고추(녹광 등)(1kg),상품,100g,당일 (10/21),-,242,04,1일전 (10/20),"18,478",1주일전 (10/14),-,2주일전 (10/07),-,1개월전,"17,398",1년전,"13,817",일평년,"11,883"
꽈리고추,꽈리고추(1kg),상품,100g,당일 (10/21),-,242,04,1일전 (10/20),"17,522",1주일전 (10/14),-,2주일전 (10/07),-,1개월전,"18,709",1년전,"17,217",일평년,"12,807"
청양고추,청양고추(1kg),상품,100g,당일 (10/21),-,242,04,1일전 (10/20),"13,144",1주일전 (10/14),-,2주일전 (10/07),-,1개월전,"17,509",1년전,"12,146",일평년,"10,279"
오이고추,오이맛고추(1kg),상품,100g,당일 (10/21),-,242,04,1일전 (10/20),"12,500",1주일전 (10/14),-,2주일전 (10/07),-,1개월전,"14,951",1년전,"9,989",일평년,"9,989"
붉은고추,붉은고추(1kg),상품,100g,당일 (10/21),-,243,04,1일전 (10/20),"23,813",1주일전 (10/14),-,2주일전 (10/07),-,1개월전,"22,725",1년전,"23,269",일평년,"18,874"
양파,양파(1kg),상품,1kg,당일 (10/21),-,245,04,1일전 (10/20),"2,348",1주일전 (10/14),-,2주일전 (10/07),-,1개월전,"1,992",1년전,"2,580",일평년,"1,960"
대파,대파(1kg),상품,1kg,당일 (10/21),-,246,04,1일전 (10/20),"3,744",1주일전 (10/14),-,2주일전 (10/07),-,1개월전,"3,056",1년전,"3,401",일평년,"3,382"
