item_name,kind_name,rank,unit,day1,dpr1,item_code,rank_code,day2,dpr2,day3,dpr3,day4,dpr4,day5,dpr5,day6,dpr6,day7,dpr7
쌀,20kg(1kg),상품,20kg,당일 (12/26),"2,877",111,04,1일전 (12/25),-,1주일전 (12/19),"2,885",2주일전 (12/12),"2,908",1개월전,"2,814",1년전,"2,507",일평년,"2,660"
찹쌀,일반계(1kg),상품,1kg,당일 (12/26),"3,613",112,04,1일전 (12/25),-,1주일전 (12/19),"3,613",2주일전 (12/12),"3,494",1개월전,"3,691",1년전,"3,489",일평년,"4,550"
콩,흰 콩(국산)(1kg),상품,500g,당일 (12/26),"9,111",141,04,1일전 (12/25),-,1주일전 (12/19),"9,974",2주일전 (12/12),"10,094",1개월전,"10,094",1년전,"12,433",일평년,"11,121"
팥,붉은 팥(국산)(1kg),상품,500g,당일 (12/26),"14,567",142,04,1일전 (12/25),-,1주일전 (12/19),"15,736",2주일전 (12/12),"16,404",1개월전,"15,298",1년전,"13,756",일평년,"16,278"
녹두,국산(1kg),상품,500g,당일 (12/26),"23,037",143,04,1일전 (12/25),-,1주일전 (12/19),"25,757",2주일전 (12/12),"25,757",1개월전,"25,240",1년전,"27,400",일평년,"18,777"
고구마,밤(1kg),상품,1kg,당일 (12/26),"5,497",151,04,1일전 (12/25),-,1주일전 (12/19),"5,825",2주일전 (12/12),"5,213",1개월전,"5,202",1년전,"5,058",일평년,"5,354"
감자,수미(노지)(1kg),상품,100g,당일 (12/26),"4,283",152,04,1일전 (12/25),-,1주일전 (12/19),"3,906",2주일전 (12/12),"3,892",1개월전,"3,960",1년전,"4,668",일평년,"3,837"
메밀,메밀(수입)(1kg),중품,1kg,당일 (12/26),"3,100",144,05,1일전 (12/25),-,1주일전 (12/19),"3,100",2주일전 (12/12),"3,100",1개월전,"3,400",1년전,"4,750",일평년,"3,535"
양배추,양배추(1포기),상품,1포기,당일 (12/26),"3,992",212,04,1일전 (12/25),-,1주일전 (12/19),"3,582",2주일전 (12/12),"3,375",1개월전,"3,674",1년전,"3,347",일평년,"3,609"
시금치,시금치(1kg),상품,100g,당일 (12/26),"7,539",213,04,1일전 (12/25),-,1주일전 (12/19),"6,502",2주일전 (12/12),"6,789",1개월전,"6,978",1년전,"5,843",일평년,"4,888"
상추,적(1kg),상품,100g,당일 (12/26),"10,311",214,04,1일전 (12/25),-,1주일전 (12/19),"9,687",2주일전 (12/12),"10,143",1개월전,"10,979",1년전,"12,777",일평년,"9,744"
적상추,적(1kg),상품,100g,당일 (12/26),"10,311",214,04,1일전 (12/25),-,1주일전 (12/19),"9,687",2주일전 (12/12),"10,143",1개월전,"10,979",1년전,"12,777",일평년,"9,744"
청상추,청(1kg),상품,100g,당일 (12/26),"10,900",214,04,1일전 (12/25),-,1주일전 (12/19),"9,828",2주일전 (12/12),"11,128",1개월전,"11,685",1년전,"13,773",일평년,"9,605"
얼갈이배추,얼갈이배추(1kg),상품,1kg,당일 (12/26),"3,088",215,04,1일전 (12/25),-,1주일전 (12/19),"2,808",2주일전 (12/12),"3,033",1개월전,"2,730",1년전,"2,879",일평년,"2,401"
수박,수박(1개),상품,1개,당일 (12/26),"22,463",221,04,1일전 (12/25),-,1주일전 (12/19),"24,067",2주일전 (12/12),"21,895",1개월전,"17,820",1년전,"27,850",일평년,"23,590"
오이,가시계통(10개),상품,10개,당일 (12/26),"21,630",223,04,1일전 (12/25),-,1주일전 (12/19),"18,280",2주일전 (12/12),"18,280",1개월전,"19,115",1년전,"17,298",일평년,"16,964"
가시오이,가시계통(10개),상품,10개,당일 (12/26),"21,630",223,04,1일전 (12/25),-,1주일전 (12/19),"18,280",2주일전 (12/12),"18,280",1개월전,"19,115",1년전,"17,298",일평년,"16,964"
다다기오이,다다기계통(10개),상품,10개,당일 (12/26),"13,238",223,04,1일전 (12/25),-,1주일전 (12/19),"10,503",2주일전 (12/12),"10,332",1개월전,"13,839",1년전,"12,146",일평년,"9,751"
취청오이,취청(10개),상품,10개,당일 (12/26),"16,397",223,04,1일전 (12/25),-,1주일전 (12/19),"14,326",2주일전 (12/12),"12,909",1개월전,"22,678",1년전,"16,241",일평년,"10,679"
애호박,애호박(1개),상품,1개,당일 (12/26),"2,209",224,04,1일전 (12/25),-,1주일전 (12/19),"1,700",2주일전 (12/12),"1,659",1개월전,"1,716",1년전,"2,043",일평년,"1,839"
쥬키니,쥬키니(1개),상품,1개,당일 (12/26),"2,303",224,04,1일전 (12/25),-,1주일전 (12/19),"2,103",2주일전 (12/12),"2,103",1개월전,"2,445",1년전,"2,210",일평년,"1,730"
토마토,토마토(1kg),상품,1kg,당일 (12/26),"6,179",225,04,1일전 (12/25),-,1주일전 (12/19),"5,546",2주일전 (12/12),"5,473",1개월전,"5,452",1년전,"4,784",일평년,"4,880"
무,가을(1개),상품,1개,당일 (12/26),-,231,04,1일전 (12/25),-,1주일전 (12/19),"1,993",2주일전 (12/12),"1,494",1개월전,"1,395",1년전,-,일평년,"2,520"
당근,무세척(1kg),상품,1kg,당일 (12/26),"3,232",232,04,1일전 (12/25),-,1주일전 (12/19),"3,316",2주일전 (12/12),"3,561",1개월전,"4,681",1년전,"4,184",일평년,"3,944"
열무,열무(1kg),상품,1kg,당일 (12/26),"4,976",233,04,1일전 (12/25),-,1주일전 (12/19),"4,694",2주일전 (12/12),"4,152",1개월전,"2,973",1년전,"2,851",일평년,"2,520"
