item_name,kind_name,rank,unit,day1,dpr1,item_code,rank_code,day2,dpr2,day3,dpr3,day4,dpr4,day5,dpr5,day6,dpr6,day7,dpr7
쌀,20kg(1kg),상품,20kg,당일 (02/09),-,111,04,1일전 (02/08),"2,754",1주일전 (02/02),"2,754",2주일전 (01/26),"2,815",1개월전,"2,840",1년전,"2,534",일평년,"2,608"
찹쌀,일반계(1kg),상품,1kg,당일 (02/09),-,112,04,1일전 (02/08),"3,888",1주일전 (02/02),"3,888",2주일전 (01/26),"3,873",1개월전,"3,643",1년전,"3,519",일평년,"4,527"
콩,흰 콩(국산)(1kg),상품,500g,당일 (02/09),-,141,04,1일전 (02/08),"10,800",1주일전 (02/02),"10,754",2주일전 (01/26),"10,754",1개월전,"9,442",1년전,"12,509",일평년,"11,083"
팥,붉은 팥(국산)(1kg),상품,500g,당일 (02/09),-,142,04,1일전 (02/08),"17,620",1주일전 (02/02),"17,580",2주일전 (01/26),"17,580",1개월전,"15,718",1년전,"13,668",일평년,"15,661"
녹두,국산(1kg),상품,500g,당일 (02/09),-,143,04,1일전 (02/08),"23,687",1주일전 (02/02),"23,687",2주일전 (01/26),"24,637",1개월전,"23,225",1년전,"27,400",일평년,"18,430"
고구마,밤(1kg),상품,1kg,당일 (02/09),-,151,04,1일전 (02/08),"4,960",1주일전 (02/02),"5,231",2주일전 (01/26),"4,934",1개월전,"5,626",1년전,"5,104",일평년,"5,168"
감자,수미(노지)(1kg),상품,100g,당일 (02/09),-,152,04,1일전 (02/08),"4,093",1주일전 (02/02),"4,060",2주일전 (01/26),"3,860",1개월전,"3,800",1년전,"4,635",일평년,"4,614"
메밀,메밀(수입)(1kg),중품,1kg,당일 (02/09),-,144,05,1일전 (02/08),"3,600",1주일전 (02/02),"3,100",2주일전 (01/26),"3,100",1개월전,"3,100",1년전,"4,720",일평년,"3,642"
양배추,양배추(1포기),상품,1포기,당일 (02/09),-,212,04,1일전 (02/08),"3,426",1주일전 (02/02),"3,157",2주일전 (01/26),"3,227",1개월전,"3,606",1년전,"3,889",일평년,"3,781"
시금치,시금치(1kg),상품,100g,당일 (02/09),-,213,04,1일전 (02/08),"10,162",1주일전 (02/02),"12,436",2주일전 (01/26),"11,036",1개월전,"7,633",1년전,"8,497",일평년,"5,443"
상추,적(1kg),상품,100g,당일 (02/09),-,214,04,1일전 (02/08),"11,988",1주일전 (02/02),"12,583",2주일전 (01/26),"12,645",1개월전,"12,240",1년전,"12,214",일평년,"10,897"
적상추,적(1kg),상품,100g,당일 (02/09),-,214,04,1일전 (02/08),"11,988",1주일전 (02/02),"12,583",2주일전 (01/26),"12,645",1개월전,"12,240",1년전,"12,214",일평년,"10,897"
청상추,청(1kg),상품,100g,당일 (02/09),-,214,04,1일전 (02/08),"12,963",1주일전 (02/02),"13,345",2주일전 (01/26),"13,470",1개월전,"13,658",1년전,"12,443",일평년,"10,611"
얼갈이배추,얼갈이배추(1kg),상품,1kg,당일 (02/09),-,215,04,1일전 (02/08),"4,274",1주일전 (02/02),"4,338",2주일전 (01/26),"4,140",1개월전,"3,734",1년전,"3,554",일평년,"3,004"
수박,수박(1개),상품,1개,당일 (02/09),-,221,04,1일전 (02/08),"39,863",1주일전 (02/02),"31,990",2주일전 (01/26),"27,990",1개월전,"21,990",1년전,-,일평년,"24,327"
오이,가시계통(10개),상품,10개,당일 (02/09),-,223,04,1일전 (02/08),"28,300",1주일전 (02/02),"24,960",2주일전 (01/26),"23,300",1개월전,"21,630",1년전,"23,300",일평년,"20,126"
가시오이,가시계통(10개),상품,10개,당일 (02/09),-,223,04,1일전 (02/08),"28,300",1주일전 (02/02),"24,960",2주일전 (01/26),"23,300",1개월전,"21,630",1년전,"23,300",일평년,"20,126"
다다기오이,다다기계통(10개),상품,10개,당일 (02/09),-,223,04,1일전 (02/08),"16,639",1주일전 (02/02),"15,869",2주일전 (01/26),"15,994",1개월전,"14,745",1년전,"13,681",일평년,"11,869"
취청오이,취청(10개),상품,10개,당일 (02/09),-,223,04,1일전 (02/08),"23,541",1주일전 (02/02),"20,457",2주일전 (01/26),"20,244",1개월전,"20,141",1년전,"18,243",일평년,"14,160"
애호박,애호박(1개),상품,1개,당일 (02/09),-,224,04,1일전 (02/08),"3,301",1주일전 (02/02),"3,116",2주일전 (01/26),"2,971",1개월전,"2,375",1년전,"2,486",일평년,"2,281"
쥬키니,쥬키니(1개),상품,1개,당일 (02/09),-,224,04,1일전 (02/08),"3,003",1주일전 (02/02),"3,087",2주일전 (01/26),"2,490",1개월전,"2,040",1년전,"3,020",일평년,"1,931"
토마토,토마토(1kg),상품,1kg,당일 (02/09),-,225,04,1일전 (02/08),"9,311",1주일전 (02/02),"9,337",2주일전 (01/26),"8,911",1개월전,"5,963",1년전,"5,849",일평년,"5,473"
무,월동(1개),상품,1개,당일 (02/09),-,231,04,1일전 (02/08),"1,570",1주일전 (02/02),"1,481",2주일전 (01/26),"1,480",1개월전,"1,788",1년전,"2,024",일평년,"1,876"
