item_name,kind_name,rank,unit,day1,dpr1,item_code,rank_code,day2,dpr2,day3,dpr3,day4,dpr4,day5,dpr5,day6,dpr6,day7,dpr7
쌀,20kg(1kg),상품,20kg,당일 (03/21),"2,559",111,04,1일전 (03/20),"2,626",1주일전 (03/14),"2,654",2주일전 (03/07),"2,737",1개월전,"2,737",1년전,"2,459",일평년,"2,609"
찹쌀,일반계(1kg),상품,1kg,당일 (03/21),"3,911",112,04,1일전 (03/20),"3,911",1주일전 (03/14),"4,330",2주일전 (03/07),"4,056",1개월전,"3,643",1년전,"3,539",일평년,"4,513"
콩,흰 콩(국산)(1kg),상품,500g,당일 (03/21),"10,626",141,04,1일전 (03/20),"10,626",1주일전 (03/14),"10,877",2주일전 (03/07),"10,877",1개월전,"10,455",1년전,"12,733",일평년,"11,064"
팥,붉은 팥(국산)(1kg),상품,500g,당일 (03/21),"17,718",142,04,1일전 (03/20),"17,718",1주일전 (03/14),"18,622",2주일전 (03/07),"17,404",1개월전,"16,775",1년전,"16,109",일평년,"17,079"
녹두,국산(1kg),상품,500g,당일 (03/21),"25,446",143,04,1일전 (03/20),"25,446",1주일전 (03/14),"25,589",2주일전 (03/07),"26,420",1개월전,"25,646",1년전,"27,300",일평년,"18,763"
고구마,밤(1kg),상품,1kg,당일 (03/21),"5,118",151,04,1일전 (03/20),"5,154",1주일전 (03/14),"5,211",2주일전 (03/07),"5,252",1개월전,"5,218",1년전,"5,378",일평년,"5,526"
감자,수미(노지)(1kg),상품,100g,당일 (03/21),"4,340",152,04,1일전 (03/20),"4,340",1주일전 (03/14),"4,540",2주일전 (03/07),"4,360",1개월전,"4,093",1년전,"6,617",일평년,"5,216"
메밀,메밀(수입)(1kg),중품,1kg,당일 (03/21),"2,950",144,05,1일전 (03/20),"2,950",1주일전 (03/14),"2,950",2주일전 (03/07),"3,600",1개월전,"3,600",1년전,"4,410",일평년,"3,555"
양배추,양배추(1포기),상품,1포기,당일 (03/21),"3,975",212,04,1일전 (03/20),"3,808",1주일전 (03/14),"3,985",2주일전 (03/07),"3,832",1개월전,"3,538",1년전,"3,633",일평년,"3,669"
시금치,시금치(1kg),상품,100g,당일 (03/21),"6,750",213,04,1일전 (03/20),"7,304",1주일전 (03/14),"8,084",2주일전 (03/07),"8,658",1개월전,"11,680",1년전,"6,905",일평년,"4,851"
상추,적(1kg),상품,100g,당일 (03/21),"9,376",214,04,1일전 (03/20),"8,338",1주일전 (03/14),"10,725",2주일전 (03/07),"12,450",1개월전,"10,845",1년전,"10,851",일평년,"8,423"
적상추,적(1kg),상품,100g,당일 (03/21),"9,376",214,04,1일전 (03/20),"8,338",1주일전 (03/14),"10,725",2주일전 (03/07),"12,450",1개월전,"10,845",1년전,"10,851",일평년,"8,423"
청상추,청(1kg),상품,100g,당일 (03/21),"9,315",214,04,1일전 (03/20),"11,028",1주일전 (03/14),"12,688",2주일전 (03/07),"12,675",1개월전,"11,473",1년전,"10,850",일평년,"8,653"
얼갈이배추,얼갈이배추(1kg),상품,1kg,당일 (03/21),"3,854",215,04,1일전 (03/20),"3,916",1주일전 (03/14),"3,819",2주일전 (03/07),"3,757",1개월전,"4,209",1년전,"3,408",일평년,"2,553"
수박,수박(1개),상품,1개,당일 (03/21),"32,350",221,04,1일전 (03/20),"30,897",1주일전 (03/14),"30,445",2주일전 (03/07),"32,898",1개월전,"34,363",1년전,-,일평년,"24,963"
오이,가시계통(10개),상품,10개,당일 (03/21),"22,950",223,04,1일전 (03/20),"24,615",1주일전 (03/14),"26,615",2주일전 (03/07),"29,945",1개월전,"26,964",1년전,"19,970",일평년,"13,765"
가시오이,가시계통(10개),상품,10개,당일 (03/21),"22,950",223,04,1일전 (03/20),"24,615",1주일전 (03/14),"26,615",2주일전 (03/07),"29,945",1개월전,"26,964",1년전,"19,970",일평년,"13,765"
다다기오이,다다기계통(10개),상품,10개,당일 (03/21),"8,947",223,04,1일전 (03/20),"10,074",1주일전 (03/14),"11,364",2주일전 (03/07),"15,284",1개월전,"13,878",1년전,"11,896",일평년,"9,430"
취청오이,취청(10개),상품,10개,당일 (03/21),"14,908",223,04,1일전 (03/20),"16,297",1주일전 (03/14),"21,156",2주일전 (03/07),"23,280",1개월전,"18,365",1년전,"14,467",일평년,"11,669"
