item_name,kind_name,rank,unit,day1,dpr1,item_code,rank_code,day2,dpr2,day3,dpr3,day4,dpr4,day5,dpr5,day6,dpr6,day7,dpr7
쌀,20kg(1kg),상품,20kg,당일 (02/29),"2,748",111,04,1일전 (02/28),"2,748",1주일전 (02/22),"2,748",2주일전 (02/15),"2,782",1개월전,"2,778",1년전,"2,476",일평년,"2,636"
찹쌀,일반계(1kg),상품,1kg,당일 (02/29),"3,918",112,04,1일전 (02/28),"3,873",1주일전 (02/22),"3,646",2주일전 (02/15),"3,891",1개월전,"3,909",1년전,"3,539",일평년,"4,322"
콩,흰 콩(국산)(1kg),상품,500g,당일 (02/29),"10,455",141,04,1일전 (02/28),"10,455",1주일전 (02/22),"10,455",2주일전 (02/15),"10,754",1개월전,"10,754",1년전,"12,337",일평년,"11,082"
팥,붉은 팥(국산)(1kg),상품,500g,당일 (02/29),"16,642",142,04,1일전 (02/28),"16,642",1주일전 (02/22),"17,060",2주일전 (02/15),"17,576",1개월전,"17,677",1년전,"15,093",일평년,"17,106"
녹두,국산(1kg),상품,500g,당일 (02/29),"25,646",143,04,1일전 (02/28),"25,646",1주일전 (02/22),"25,646",2주일전 (02/15),"26,040",1개월전,"24,257",1년전,"27,300",일평년,"18,254"
고구마,밤(1kg),상품,1kg,당일 (02/29),"5,390",151,04,1일전 (02/28),"5,271",1주일전 (02/22),"5,208",2주일전 (02/15),"5,144",1개월전,"5,105",1년전,"5,113",일평년,"5,438"
감자,수미(노지)(1kg),상품,100g,당일 (02/29),"4,193",152,04,1일전 (02/28),"4,193",1주일전 (02/22),"4,093",2주일전 (02/15),"4,193",1개월전,"4,000",1년전,"5,086",일평년,"4,921"
메밀,메밀(수입)(1kg),중품,1kg,당일 (02/29),"3,600",144,05,1일전 (02/28),"3,600",1주일전 (02/22),"3,600",2주일전 (02/15),"3,600",1개월전,"3,100",1년전,"4,450",일평년,"3,575"
양배추,양배추(1포기),상품,1포기,당일 (02/29),"3,760",212,04,1일전 (02/28),"3,489",1주일전 (02/22),"3,489",2주일전 (02/15),"3,877",1개월전,"3,090",1년전,"3,513",일평년,"3,716"
시금치,시금치(1kg),상품,100g,당일 (02/29),"9,603",213,04,1일전 (02/28),"9,853",1주일전 (02/22),"11,351",2주일전 (02/15),"12,191",1개월전,"11,886",1년전,"7,660",일평년,"5,263"
상추,적(1kg),상품,100g,당일 (02/29),"10,958",214,04,1일전 (02/28),"10,791",1주일전 (02/22),"10,641",2주일전 (02/15),"12,013",1개월전,"12,748",1년전,"11,709",일평년,"8,753"
적상추,적(1kg),상품,100g,당일 (02/29),"10,958",214,04,1일전 (02/28),"10,791",1주일전 (02/22),"10,641",2주일전 (02/15),"12,013",1개월전,"12,748",1년전,"11,709",일평년,"8,753"
청상추,청(1kg),상품,100g,당일 (02/29),"11,583",214,04,1일전 (02/28),"11,416",1주일전 (02/22),"11,079",2주일전 (02/15),"12,838",1개월전,"13,535",1년전,"11,693",일평년,"8,688"
얼갈이배추,얼갈이배추(1kg),상품,1kg,당일 (02/29),"3,883",215,04,1일전 (02/28),"3,930",1주일전 (02/22),"4,078",2주일전 (02/15),"4,526",1개월전,"4,221",1년전,"4,013",일평년,"2,631"
수박,수박(1개),상품,1개,당일 (02/29),"32,533",221,04,1일전 (02/28),"32,648",1주일전 (02/22),"32,945",2주일전 (02/15),"36,990",1개월전,"29,590",1년전,-,일평년,"22,401"
오이,가시계통(10개),상품,10개,당일 (02/29),"29,110",223,04,1일전 (02/28),"29,110",1주일전 (02/22),"26,280",2주일전 (02/15),"28,300",1개월전,"23,964",1년전,"26,570",일평년,"14,352"
가시오이,가시계통(10개),상품,10개,당일 (02/29),"29,110",223,04,1일전 (02/28),"29,110",1주일전 (02/22),"26,280",2주일전 (02/15),"28,300",1개월전,"23,964",1년전,"26,570",일평년,"14,352"
다다기오이,다다기계통(10개),상품,10개,당일 (02/29),"15,037",223,04,1일전 (02/28),"14,481",1주일전 (02/22),"13,984",2주일전 (02/15),"14,512",1개월전,"16,070",1년전,"13,830",일평년,"10,067"
취청오이,취청(10개),상품,10개,당일 (02/29),"22,797",223,04,1일전 (02/28),"22,320",1주일전 (02/22),"18,346",2주일전 (02/15),"21,313",1개월전,"21,027",1년전,"18,503",일평년,"12,250"
애호박,애호박(1개),상품,1개,당일 (02/29),"2,572",224,04,1일전 (02/28),"2,576",1주일전 (02/22),"2,909",2주일전 (02/15),"3,216",1개월전,"3,031",1년전,"2,925",일평년,"2,088"
쥬키니,쥬키니(1개),상품,1개,당일 (02/29),"3,115",224,04,1일전 (02/28),"3,070",1주일전 (02/22),"2,240",2주일전 (02/15),"2,740",1개월전,"2,877",1년전,"3,652",일평년,"1,906"
토마토,토마토(1kg),상품,1kg,당일 (02/29),"8,597",225,04,1일전 (02/28),"8,239",1주일전 (02/22),"8,172",2주일전 (02/15),"8,223",1개월전,"9,009",1년전,"7,628",일평년,"5,781"
무,월동(1개),상품,1개,당일 (02/29),"1,787",231,04,1일전 (02/28),"1,812",1주일전 (02/22),"1,704",2주일전 (02/15),"1,757",1개월전,"1,516",1년전,"1,967",일평년,"1,663"
당근,무세척(1kg),상품,1kg,당일 (02/29),"3,948",232,04,1일전 (02/28),"3,948",1주일전 (02/22),"3,807",2주일전 (02/15),"3,978",1개월전,"3,215",1년전,"5,183",일평년,"3,722"
열무,열무(1kg),상품,1kg,당일 (02/29),"2,814",233,04,1일전 (02/28),"2,950",1주일전 (02/22),"3,058",2주일전 (02/15),"4,175",1개월전,"7,725",1년전,"3,657",일평년,"2,788"
건고추,화건(1kg),상품,600g,당일 (02/29),"33,000",241,04,1일전 (02/28),"33,000",1주일전 (02/22),"33,000",2주일전 (02/15),"33,000",1개월전,"33,000",1년전,"29,667",일평년,"33,607"
고추,풋고추(녹광 등)(1kg),상품,100g,당일 (02/29),"22,900",242,04,1일전 (02/28),"22,600",1주일전 (02/22),"22,011",2주일전 (02/15),"22,578",1개월전,"19,593",1년전,"27,352",일평년,"17,082"
풋고추,풋고추(녹광 등)(1kg),상품,100g,당일 (02/29),"22,900",242,04,1일전 (02/28),"22,600",1주일전 (02/22),"22,011",2주일전 (02/15),"22,578",1개월전,"19,593",1년전,"27,352",일평년,"17,082"
꽈리고추,꽈리고추(1kg),상품,100g,당일 (02/29),"21,356",242,04,1일전 (02/28),"21,022",1주일전 (02/22),"22,244",2주일전 (02/15),"22,278",1개월전,"21,702",1년전,"18,751",일평년,"14,557"
청양고추,청양고추(1kg),상품,100g,당일 (02/29),"23,344",242,04,1일전 (02/28),"24,067",1주일전 (02/22),"26,978",2주일전 (02/15),"25,889",1개월전,"21,913",1년전,"27,146",일평년,"18,163"
오이고추,오이맛고추(1kg),상품,100g,당일 (02/29),"21,156",242,04,1일전 (02/28),"21,644",1주일전 (02/22),"21,722",2주일전 (02/15),"19,922",1개월전,"19,260",1년전,"18,857",일평년,"18,857"
붉은고추,붉은고추(1kg),상품,100g,당일 (02/29),"25,663",243,04,1일전 (02/28),"22,600",1주일전 (02/22),"19,875",2주일전 (02/15),"18,400",1개월전,"18,228",1년전,"21,657",일평년,"17,027"
양파,양파(1kg),상품,1kg,당일 (02/29),"2,372",245,04,1일전 (02/28),"2,384",1주일전 (02/22),"2,384",2주일전 (02/15),"2,142",1개월전,"2,269",1년전,"2,678",일평년,"2,320"
대파,대파(1kg),상품,1kg,당일 (02/29),"4,024",246,04,1일전 (02/28),"4,176",1주일전 (02/22),"4,494",2주일전 (02/15),"4,917",1개월전,"3,731",1년전,"3,492",일평년,"3,445"
쪽파,쪽파(1kg),상품,1kg,당일 (02/29),"9,390",246,04,1일전 (02/28),"9,482",1주일전 (02/22),"10,575",2주일전 (02/15),"13,877",1개월전,"13,562",1년전,"7,398",일평년,"6,805"
생강,국산(1kg),상품,1kg,당일 (02/29),"16,476",247,04,1일전 (02/28),"16,476",1주일전 (02/22),"16,476",2주일전 (02/15),"16,476",1개월전,"16,564",1년전,"13,637",일평년,"12,239"
고춧가루,국산(1kg),상품,1kg,당일 (02/29),"37,397",248,04,1일전 (02/28),"38,737",1주일전 (02/22),"38,737",2주일전 (02/15),"37,066",1개월전,"37,066",1년전,"34,879",일평년,"33,096"
미나리,미나리(1kg),상품,100g,당일 (02/29),"18,133",252,04,1일전 (02/28),"20,522",1주일전 (02/22),"20,667",2주일전 (02/15),"24,322",1개월전,"22,989",1년전,"15,337",일평년,"13,371"
깻잎,깻잎(1kg),상품,100g,당일 (02/29),"30,589",253,04,1일전 (02/28),"29,967",1주일전 (02/22),"31,167",2주일전 (02/15),"39,700",1개월전,"36,682",1년전,"27,171",일평년,"21,644"
