item_name,kind_name,rank,unit,day1,dpr1,item_code,rank_code,day2,dpr2,day3,dpr3,day4,dpr4,day5,dpr5,day6,dpr6,day7,dpr7
쌀,20kg(1kg),상품,20kg,당일 (12/25),-,111,04,1일전 (12/24),-,1주일전 (12/18),"2,889",2주일전 (12/11),"2,889",1개월전,"2,799",1년전,"2,536",일평년,"2,659"
찹쌀,일반계(1kg),상품,1kg,당일 (12/25),-,112,04,1일전 (12/24),-,1주일전 (12/18),"3,613",2주일전 (12/11),"3,543",1개월전,"3,611",1년전,"3,489",일평년,"4,545"
콩,흰 콩(국산)(1kg),상품,500g,당일 (12/25),-,141,04,1일전 (12/24),-,1주일전 (12/18),"9,974",2주일전 (12/11),"10,094",1개월전,"10,094",1년전,"12,433",일평년,"11,121"
팥,붉은 팥(국산)(1kg),상품,500g,당일 (12/25),-,142,04,1일전 (12/24),-,1주일전 (12/18),"15,736",2주일전 (12/11),"16,273",1개월전,"15,298",1년전,"14,220",일평년,"16,502"
녹두,국산(1kg),상품,500g,당일 (12/25),-,143,04,1일전 (12/24),-,1주일전 (12/18),"25,757",2주일전 (12/11),"25,757",1개월전,"24,723",1년전,"27,400",일평년,"17,021"
고구마,밤(1kg),상품,1kg,당일 (12/25),-,151,04,1일전 (12/24),-,1주일전 (12/18),"5,492",2주일전 (12/11),"5,454",1개월전,"5,407",1년전,"5,115",일평년,"5,347"
감자,수미(노지)(1kg),상품,100g,당일 (12/25),-,152,04,1일전 (12/24),-,1주일전 (12/18),"3,740",2주일전 (12/11),"3,892",1개월전,"3,823",1년전,"4,420",일평년,"3,752"
메밀,메밀(수입)(1kg),중품,1kg,당일 (12/25),-,144,05,1일전 (12/24),-,1주일전 (12/18),"3,100",2주일전 (12/11),"3,100",1개월전,"3,400",1년전,"4,750",일평년,"3,500"
양배추,양배추(1포기),상품,1포기,당일 (12/25),-,212,04,1일전 (12/24),-,1주일전 (12/18),"3,582",2주일전 (12/11),"3,418",1개월전,"3,896",1년전,"3,399",일평년,"3,620"
시금치,시금치(1kg),상품,100g,당일 (12/25),-,213,04,1일전 (12/24),-,1주일전 (12/18),"6,573",2주일전 (12/11),"6,789",1개월전,"7,113",1년전,"5,773",일평년,"4,960"
상추,적(1kg),상품,100g,당일 (12/25),-,214,04,1일전 (12/24),-,1주일전 (12/18),"9,687",2주일전 (12/11),"10,143",1개월전,"10,888",1년전,"12,014",일평년,"9,533"
적상추,적(1kg),상품,100g,당일 (12/25),-,214,04,1일전 (12/24),-,1주일전 (12/18),"9,687",2주일전 (12/11),"10,143",1개월전,"10,888",1년전,"12,014",일평년,"9,533"
청상추,청(1kg),상품,100g,당일 (12/25),-,214,04,1일전 (12/24),-,1주일전 (12/18),"9,828",2주일전 (12/11),"11,128",1개월전,"12,058",1년전,"13,003",일평년,"9,352"
