item_name,kind_name,rank,unit,day1,dpr1,item_code,rank_code,day2,dpr2,day3,dpr3,day4,dpr4,day5,dpr5,day6,dpr6,day7,dpr7
쌀,20kg(1kg),상품,20kg,당일 (03/26),"2,427",111,04,1일전 (03/25),"2,504",1주일전 (03/19),"2,654",2주일전 (03/12),"2,737",1개월전,"2,751",1년전,"2,433",일평년,"2,615"
찹쌀,일반계(1kg),상품,1kg,당일 (03/26),"4,267",112,04,1일전 (03/25),"4,267",1주일전 (03/19),"4,267",2주일전 (03/12),"4,073",1개월전,"3,693",1년전,"3,523",일평년,"4,522"
콩,흰 콩(국산)(1kg),상품,500g,당일 (03/26),"10,626",141,04,1일전 (03/25),"10,626",1주일전 (03/19),"10,626",2주일전 (03/12),"10,877",1개월전,"10,455",1년전,"12,748",일평년,"11,076"
팥,붉은 팥(국산)(1kg),상품,500g,당일 (03/26),"19,029",142,04,1일전 (03/25),"19,029",1주일전 (03/19),"17,718",2주일전 (03/12),"18,567",1개월전,"16,943",1년전,"16,147",일평년,"17,082"
녹두,국산(1kg),상품,500g,당일 (03/26),"25,446",143,04,1일전 (03/25),"25,446",1주일전 (03/19),"25,446",2주일전 (03/12),"25,923",1개월전,"25,646",1년전,"27,300",일평년,"18,746"
고구마,밤(1kg),상품,1kg,당일 (03/26),"5,241",151,04,1일전 (03/25),"5,241",1주일전 (03/19),"5,154",2주일전 (03/12),"5,416",1개월전,"5,315",1년전,"5,543",일평년,"5,658"
감자,수미(노지)(1kg),상품,100g,당일 (03/26),"4,340",152,04,1일전 (03/25),"4,340",1주일전 (03/19),"4,340",2주일전 (03/12),"4,407",1개월전,"4,113",1년전,"6,919",일평년,"5,198"
메밀,메밀(수입)(1kg),중품,1kg,당일 (03/26),"3,020",144,05,1일전 (03/25),"2,950",1주일전 (03/19),"2,950",2주일전 (03/12),"2,950",1개월전,"3,600",1년전,"4,400",일평년,"3,550"
양배추,양배추(1포기),상품,1포기,당일 (03/26),"3,808",212,04,1일전 (03/25),"3,808",1주일전 (03/19),"3,808",2주일전 (03/12),"3,818",1개월전,"3,489",1년전,"3,707",일평년,"3,669"
시금치,시금치(1kg),상품,100g,당일 (03/26),"6,754",213,04,1일전 (03/25),"6,788",1주일전 (03/19),"7,167",2주일전 (03/12),"8,486",1개월전,"10,684",1년전,"6,584",일평년,"4,831"
상추,적(1kg),상품,100g,당일 (03/26),"9,273",214,04,1일전 (03/25),"8,935",1주일전 (03/19),"8,790",2주일전 (03/12),"12,475",1개월전,"10,514",1년전,"10,257",일평년,"8,183"
적상추,적(1kg),상품,100g,당일 (03/26),"9,273",214,04,1일전 (03/25),"8,935",1주일전 (03/19),"8,790",2주일전 (03/12),"12,475",1개월전,"10,514",1년전,"10,257",일평년,"8,183"
청상추,청(1kg),상품,100g,당일 (03/26),"9,496",214,04,1일전 (03/25),"9,103",1주일전 (03/19),"11,028",2주일전 (03/12),"12,700",1개월전,"11,124",1년전,"10,367",일평년,"8,507"
얼갈이배추,얼갈이배추(1kg),상품,1kg,당일 (03/26),"3,946",215,04,1일전 (03/25),"3,966",1주일전 (03/19),"3,854",2주일전 (03/12),"3,656",1개월전,"4,052",1년전,"3,160",일평년,"2,548"
수박,수박(1개),상품,1개,당일 (03/26),"30,400",221,04,1일전 (03/25),"32,350",1주일전 (03/19),"27,945",2주일전 (03/12),"33,445",1개월전,"32,945",1년전,-,일평년,"26,037"
참외,참외(10개),상품,10개,당일 (03/26),"29,086",222,04,1일전 (03/25),-,1주일전 (03/19),-,2주일전 (03/12),-,1개월전,-,1년전,"36,413",일평년,"26,242"
오이,가시계통(10개),상품,10개,당일 (03/26),"23,280",223,04,1일전 (03/25),"23,280",1주일전 (03/19),"26,615",2주일전 (03/12),"29,945",1개월전,"26,846",1년전,"19,970",일평년,"13,219"
가시오이,가시계통(10개),상품,10개,당일 (03/26),"23,280",223,04,1일전 (03/25),"23,280",1주일전 (03/19),"26,615",2주일전 (03/12),"29,945",1개월전,"26,846",1년전,"19,970",일평년,"13,219"
다다기오이,다다기계통(10개),상품,10개,당일 (03/26),"10,276",223,04,1일전 (03/25),"9,902",1주일전 (03/19),"9,848",2주일전 (03/12),"14,227",1개월전,"14,210",1년전,"11,088",일평년,"8,867"
