item_name,kind_name,rank,unit,day1,dpr1,item_code,rank_code,day2,dpr2,day3,dpr3,day4,dpr4,day5,dpr5,day6,dpr6,day7,dpr7
쌀,20kg(20kg),상품,20kg,당일 (12/07),"57,778",111,04,1일전 (12/06),"56,889",1주일전 (11/30),"55,914",2주일전 (11/23),"56,274",1개월전,"43,821",1년전,"51,833",일평년,"53,719"
찹쌀,일반계(1kg),상품,1kg,당일 (12/07),"3,653",112,04,1일전 (12/06),"3,549",1주일전 (11/30),"3,632",2주일전 (11/23),"3,691",1개월전,"3,404",1년전,"3,665",일평년,"4,685"
콩,흰 콩(국산)(500g),상품,500g,당일 (12/07),"5,047",141,04,1일전 (12/06),"5,047",1주일전 (11/30),"5,047",2주일전 (11/23),"5,047",1개월전,"4,959",1년전,"5,396",일평년,"5,079"
팥,붉은 팥(국산)(500g),상품,500g,당일 (12/07),"8,184",142,04,1일전 (12/06),"7,649",1주일전 (11/30),"7,649",2주일전 (11/23),"7,649",1개월전,"8,187",1년전,"6,289",일평년,"7,909"
녹두,국산(500g),상품,500g,당일 (12/07),"12,878",143,04,1일전 (12/06),"12,878",1주일전 (11/30),"12,878",2주일전 (11/23),"12,362",1개월전,"11,833",1년전,"10,763",일평년,"9,043"
고구마,밤(1kg),상품,1kg,당일 (12/07),"4,891",151,04,1일전 (12/06),"5,315",1주일전 (11/30),"5,366",2주일전 (11/23),"5,210",1개월전,"5,233",1년전,"5,202",일평년,"5,248"
감자,수미(노지)(100g),상품,100g,당일 (12/07),403,152,04,1일전 (12/06),389,1주일전 (11/30),389,2주일전 (11/23),396,1개월전,372,1년전,416,일평년,348
메밀,메밀(수입)(1kg),중품,1kg,당일 (12/07),"3,100",144,05,1일전 (12/06),"3,400",1주일전 (11/30),"3,400",2주일전 (11/23),"3,400",1개월전,"3,867",1년전,"4,825",일평년,"3,524"
양배추,양배추(1포기),상품,1포기,당일 (12/07),"3,418",212,04,1일전 (12/06),"3,370",1주일전 (11/30),"3,436",2주일전 (11/23),"3,774",1개월전,"4,741",1년전,"3,561",일평년,"3,642"
시금치,시금치(100g),상품,100g,당일 (12/07),691,213,04,1일전 (12/06),703,1주일전 (11/30),692,2주일전 (11/23),699,1개월전,871,1년전,682,일평년,613
상추,적(100g),상품,100g,당일 (12/07),"1,107",214,04,1일전 (12/06),"1,154",1주일전 (11/30),"1,154",2주일전 (11/23),"1,107",1개월전,"1,158",1년전,820,일평년,817
적상추,적(100g),상품,100g,당일 (12/07),"1,107",214,04,1일전 (12/06),"1,154",1주일전 (11/30),"1,154",2주일전 (11/23),"1,107",1개월전,"1,158",1년전,820,일평년,817
청상추,청(100g),상품,100g,당일 (12/07),"1,113",214,04,1일전 (12/06),"1,225",1주일전 (11/30),"1,225",2주일전 (11/23),"1,199",1개월전,"1,260",1년전,881,일평년,849
얼갈이배추,얼갈이배추(1kg),상품,1kg,당일 (12/07),"3,226",215,04,1일전 (12/06),"3,333",1주일전 (11/30),"3,107",2주일전 (11/23),"2,462",1개월전,"2,556",1년전,"2,486",일평년,"2,284"
