item_name,kind_name,rank,unit,day1,dpr1,item_code,rank_code,day2,dpr2,day3,dpr3,day4,dpr4,day5,dpr5,day6,dpr6,day7,dpr7
쌀,20kg(1kg),상품,20kg,당일 (08/06),"2,506",111,04,1일전 (08/05),"2,506",1주일전 (07/30),"2,531",2주일전 (07/23),"2,619",1개월전,"2,648",1년전,"2,599",일평년,"2,600"
찹쌀,일반계(1kg),상품,1kg,당일 (08/06),"4,239",112,04,1일전 (08/05),"4,239",1주일전 (07/30),"4,003",2주일전 (07/23),"4,058",1개월전,"3,909",1년전,"3,457",일평년,"4,075"
콩,흰 콩(국산)(1kg),상품,500g,당일 (08/06),"10,017",141,04,1일전 (08/05),"10,017",1주일전 (07/30),"10,606",2주일전 (07/23),"10,606",1개월전,"10,620",1년전,"10,991",일평년,"10,833"
팥,붉은 팥(국산)(1kg),상품,500g,당일 (08/06),"21,160",142,04,1일전 (08/05),"21,160",1주일전 (07/30),"20,862",2주일전 (07/23),"20,862",1개월전,"20,129",1년전,"15,267",일평년,"16,171"
녹두,국산(1kg),상품,500g,당일 (08/06),"23,789",143,04,1일전 (08/05),"23,789",1주일전 (07/30),"21,960",2주일전 (07/23),"22,531",1개월전,"24,666",1년전,"22,354",일평년,"20,364"
고구마,밤(1kg),상품,1kg,당일 (08/06),"6,098",151,04,1일전 (08/05),"6,171",1주일전 (07/30),"6,070",2주일전 (07/23),"5,378",1개월전,"5,954",1년전,"6,799",일평년,"6,821"
감자,수미(노지)(1kg),상품,100g,당일 (08/06),"3,070",152,04,1일전 (08/05),"2,903",1주일전 (07/30),"3,001",2주일전 (07/23),"2,926",1개월전,"2,958",1년전,"3,449",일평년,"2,906"
메밀,메밀(수입)(1kg),중품,1kg,당일 (08/06),"3,100",144,05,1일전 (08/05),"3,100",1주일전 (07/30),"3,100",2주일전 (07/23),"3,150",1개월전,"3,000",1년전,"3,963",일평년,"3,721"
배추,여름(고랭지)(1포기),상품,1포기,당일 (08/06),"5,421",211,04,1일전 (08/05),"5,240",1주일전 (07/30),"5,380",2주일전 (07/23),"4,740",1개월전,-,1년전,"4,990",일평년,"4,791"
고랭지배추,여름(고랭지)(1포기),상품,1포기,당일 (08/06),"5,421",211,04,1일전 (08/05),"5,240",1주일전 (07/30),"5,380",2주일전 (07/23),"4,740",1개월전,-,1년전,"4,990",일평년,"4,791"
양배추,양배추(1포기),상품,1포기,당일 (08/06),"4,060",212,04,1일전 (08/05),"4,608",1주일전 (07/30),"3,695",2주일전 (07/23),"3,206",1개월전,"3,373",1년전,"4,968",일평년,"4,061"
시금치,시금치(1kg),상품,100g,당일 (08/06),"18,078",213,04,1일전 (08/05),"18,367",1주일전 (07/30),"17,378",2주일전 (07/23),"16,511",1개월전,"12,099",1년전,"22,204",일평년,"17,674"
상추,적(1kg),상품,100g,당일 (08/06),"24,256",214,04,1일전 (08/05),"24,622",1주일전 (07/30),"23,250",2주일전 (07/23),"22,488",1개월전,"12,398",1년전,"25,733",일평년,"20,080"
적상추,적(1kg),상품,100g,당일 (08/06),"24,256",214,04,1일전 (08/05),"24,622",1주일전 (07/30),"23,250",2주일전 (07/23),"22,488",1개월전,"12,398",1년전,"25,733",일평년,"20,080"
청상추,청(1kg),상품,100g,당일 (08/06),"25,657",214,04,1일전 (08/05),"26,129",1주일전 (07/30),"24,657",2주일전 (07/23),"25,488",1개월전,"13,044",1년전,"25,981",일평년,"21,428"
얼갈이배추,얼갈이배추(1kg),상품,1kg,당일 (08/06),"4,721",215,04,1일전 (08/05),"4,867",1주일전 (07/30),"4,646",2주일전 (07/23),"4,043",1개월전,"3,117",1년전,"4,404",일평년,"3,552"
수박,수박(1개),상품,1개,당일 (08/06),"28,943",221,04,1일전 (08/05),"28,471",1주일전 (07/30),"25,940",2주일전 (07/23),"23,756",1개월전,"21,247",1년전,"28,438",일평년,"22,637"
참외,참외(10개),상품,10개,당일 (08/06),"19,613",222,04,1일전 (08/05),"19,613",1주일전 (07/30),"16,188",2주일전 (07/23),"15,148",1개월전,"12,061",1년전,"26,905",일평년,"19,547"
오이,가시계통(10개),상품,10개,당일 (08/06),"16,067",223,04,1일전 (08/05),"19,100",1주일전 (07/30),"16,600",2주일전 (07/23),"19,100",1개월전,"11,600",1년전,"10,945",일평년,"10,294"
가시오이,가시계통(10개),상품,10개,당일 (08/06),"16,067",223,04,1일전 (08/05),"19,100",1주일전 (07/30),"16,600",2주일전 (07/23),"19,100",1개월전,"11,600",1년전,"10,945",일평년,"10,294"
다다기오이,다다기계통(10개),상품,10개,당일 (08/06),"14,078",223,04,1일전 (08/05),"14,967",1주일전 (07/30),"13,400",2주일전 (07/23),"12,504",1개월전,"9,720",1년전,"9,217",일평년,"9,567"
취청오이,취청(10개),상품,10개,당일 (08/06),"14,266",223,04,1일전 (08/05),"15,050",1주일전 (07/30),"13,499",2주일전 (07/23),"15,904",1개월전,"12,394",1년전,"13,150",일평년,"11,335"
애호박,애호박(1개),상품,1개,당일 (08/06),"2,177",224,04,1일전 (08/05),"2,250",1주일전 (07/30),"1,967",2주일전 (07/23),"1,674",1개월전,"1,153",1년전,"1,589",일평년,"1,674"
쥬키니,쥬키니(1개),상품,1개,당일 (08/06),"2,330",224,04,1일전 (08/05),"2,053",1주일전 (07/30),"1,820",2주일전 (07/23),"1,820",1개월전,"1,445",1년전,"2,612",일평년,"1,704"
토마토,토마토(1kg),상품,1kg,당일 (08/06),"4,721",225,04,1일전 (08/05),"4,721",1주일전 (07/30),"4,619",2주일전 (07/23),"4,829",1개월전,"3,858",1년전,"4,375",일평년,"4,624"
