item_name,kind_name,rank,unit,day1,dpr1,item_code,rank_code,day2,dpr2,day3,dpr3,day4,dpr4,day5,dpr5,day6,dpr6,day7,dpr7
쌀,20kg(20kg),상품,20kg,당일 (10/06),"56,940",111,04,1일전 (10/05),"56,940",1주일전 (09/29),-,2주일전 (09/22),"55,278",1개월전,"41,820",1년전,"46,943",일평년,"52,378"
찹쌀,일반계(1kg),상품,1kg,당일 (10/06),"3,660",112,04,1일전 (10/05),"3,660",1주일전 (09/29),-,2주일전 (09/22),"3,632",1개월전,"3,674",1년전,"3,793",일평년,"4,600"
콩,흰 콩(국산)(500g),상품,500g,당일 (10/06),"5,046",141,04,1일전 (10/05),"5,046",1주일전 (09/29),-,2주일전 (09/22),"5,046",1개월전,"5,182",1년전,"5,310",일평년,"4,982"
팥,붉은 팥(국산)(500g),상품,500g,당일 (10/06),"8,110",142,04,1일전 (10/05),"8,110",1주일전 (09/29),-,2주일전 (09/22),"8,110",1개월전,"8,028",1년전,"7,204",일평년,"7,514"
녹두,국산(500g),상품,500g,당일 (10/06),"12,028",143,04,1일전 (10/05),"12,028",1주일전 (09/29),-,2주일전 (09/22),"11,695",1개월전,"11,764",1년전,"11,290",일평년,"9,109"
고구마,밤(1kg),상품,1kg,당일 (10/06),"5,983",151,04,1일전 (10/05),"6,206",1주일전 (09/29),-,2주일전 (09/22),"5,528",1개월전,"6,411",1년전,"5,454",일평년,"5,589"
감자,수미(노지)(100g),상품,100g,당일 (10/06),373,152,04,1일전 (10/05),380,1주일전 (09/29),-,2주일전 (09/22),324,1개월전,340,1년전,413,일평년,323
메밀,메밀(수입)(1kg),중품,1kg,당일 (10/06),"3,400",144,05,1일전 (10/05),"3,400",1주일전 (09/29),-,2주일전 (09/22),"3,400",1개월전,"3,907",1년전,"4,700",일평년,"3,361"
배추,여름(고랭지)(1포기),상품,1포기,당일 (10/06),"7,409",211,04,1일전 (10/05),"7,520",1주일전 (09/29),-,2주일전 (09/22),"6,885",1개월전,"5,522",1년전,"7,857",일평년,"6,777"
고랭지배추,여름(고랭지)(1포기),상품,1포기,당일 (10/06),"7,409",211,04,1일전 (10/05),"7,520",1주일전 (09/29),-,2주일전 (09/22),"6,885",1개월전,"5,522",1년전,"7,857",일평년,"6,777"
양배추,양배추(1포기),상품,1포기,당일 (10/06),"5,602",212,04,1일전 (10/05),"5,658",1주일전 (09/29),-,2주일전 (09/22),"5,537",1개월전,"4,969",1년전,"4,727",일평년,"4,074"
시금치,시금치(100g),상품,100g,당일 (10/06),"1,844",213,04,1일전 (10/05),"1,897",1주일전 (09/29),-,2주일전 (09/22),"1,843",1개월전,"2,724",1년전,"1,202",일평년,"1,031"
상추,적(100g),상품,100g,당일 (10/06),"1,708",214,04,1일전 (10/05),"1,714",1주일전 (09/29),-,2주일전 (09/22),"1,550",1개월전,"1,605",1년전,"1,106",일평년,"1,252"
적상추,적(100g),상품,100g,당일 (10/06),"1,708",214,04,1일전 (10/05),"1,714",1주일전 (09/29),-,2주일전 (09/22),"1,550",1개월전,"1,605",1년전,"1,106",일평년,"1,252"
청상추,청(100g),상품,100g,당일 (10/06),"1,826",214,04,1일전 (10/05),"1,828",1주일전 (09/29),-,2주일전 (09/22),"1,648",1개월전,"1,718",1년전,"1,213",일평년,"1,301"
얼갈이배추,얼갈이배추(1kg),상품,1kg,당일 (10/06),"3,407",215,04,1일전 (10/05),"3,503",1주일전 (09/29),-,2주일전 (09/22),"3,698",1개월전,"4,270",1년전,"2,544",일평년,"2,817"
수박,수박(1개),상품,1개,당일 (10/06),"20,445",221,04,1일전 (10/05),"20,445",1주일전 (09/29),-,2주일전 (09/22),"28,648",1개월전,"28,936",1년전,-,일평년,"21,009"
참외,참외(10개),상품,10개,당일 (10/06),-,222,04,1일전 (10/05),-,1주일전 (09/29),-,2주일전 (09/22),"30,530",1개월전,"27,696",1년전,-,일평년,"22,829"
오이,가시계통(10개),상품,10개,당일 (10/06),"16,610",223,04,1일전 (10/05),"16,610",1주일전 (09/29),-,2주일전 (09/22),"14,950",1개월전,"13,320",1년전,"11,972",일평년,"9,551"
가시오이,가시계통(10개),상품,10개,당일 (10/06),"16,610",223,04,1일전 (10/05),"16,610",1주일전 (09/29),-,2주일전 (09/22),"14,950",1개월전,"13,320",1년전,"11,972",일평년,"9,551"
다다기오이,다다기계통(10개),상품,10개,당일 (10/06),"12,369",223,04,1일전 (10/05),"12,436",1주일전 (09/29),-,2주일전 (09/22),"10,693",1개월전,"12,448",1년전,"10,989",일평년,"8,995"
취청오이,취청(10개),상품,10개,당일 (10/06),"14,321",223,04,1일전 (10/05),"14,321",1주일전 (09/29),-,2주일전 (09/22),"11,770",1개월전,"15,228",1년전,"13,185",일평년,"10,395"
애호박,애호박(1개),상품,1개,당일 (10/06),"1,716",224,04,1일전 (10/05),"1,704",1주일전 (09/29),-,2주일전 (09/22),"1,963",1개월전,"1,991",1년전,"1,506",일평년,"1,358"
쥬키니,쥬키니(1개),상품,1개,당일 (10/06),"2,653",224,04,1일전 (10/05),"2,620",1주일전 (09/29),-,2주일전 (09/22),"2,453",1개월전,"2,282",1년전,"1,966",일평년,"1,716"
토마토,토마토(1kg),상품,1kg,당일 (10/06),"8,833",225,04,1일전 (10/05),"8,934",1주일전 (09/29),-,2주일전 (09/22),"7,533",1개월전,"7,279",1년전,"8,216",일평년,"7,371"
무,고랭지(1개),상품,1개,당일 (10/06),"2,377",231,04,1일전 (10/05),"2,377",1주일전 (09/29),-,2주일전 (09/22),"2,240",1개월전,"2,551",1년전,"4,126",일평년,"3,192"
당근,무세척(1kg),상품,1kg,당일 (10/06),"6,651",232,04,1일전 (10/05),"6,646",1주일전 (09/29),-,2주일전 (09/22),"6,232",1개월전,"6,322",1년전,"5,324",일평년,"4,781"
열무,열무(1kg),상품,1kg,당일 (10/06),"3,267",233,04,1일전 (10/05),"3,378",1주일전 (09/29),-,2주일전 (09/22),"3,811",1개월전,"4,365",1년전,"2,537",일평년,"2,777"
건고추,화건(600g),상품,600g,당일 (10/06),"19,232",241,04,1일전 (10/05),"19,232",1주일전 (09/29),-,2주일전 (09/22),"19,665",1개월전,"19,009",1년전,"16,391",일평년,"16,923"
풋고추,풋고추(녹광 등)(100g),상품,100g,당일 (10/06),"1,776",242,04,1일전 (10/05),"1,808",1주일전 (09/29),-,2주일전 (09/22),"1,778",1개월전,"1,365",1년전,"1,322",일평년,"1,235"
고추,풋고추(녹광 등)(100g),상품,100g,당일 (10/06),"1,776",242,04,1일전 (10/05),"1,808",1주일전 (09/29),-,2주일전 (09/22),"1,778",1개월전,"1,365",1년전,"1,322",일평년,"1,235"
꽈리고추,꽈리고추(100g),상품,100g,당일 (10/06),"1,839",242,04,1일전 (10/05),"1,866",1주일전 (09/29),-,2주일전 (09/22),"1,869",1개월전,"1,597",1년전,"1,839",일평년,"1,507"
청양고추,청양고추(100g),상품,100g,당일 (10/06),"1,531",242,04,1일전 (10/05),"1,526",1주일전 (09/29),-,2주일전 (09/22),"1,662",1개월전,"1,175",1년전,"1,201",일평년,"1,097"
오이고추,오이맛고추(100g),상품,100g,당일 (10/06),"1,411",242,04,1일전 (10/05),"1,411",1주일전 (09/29),-,2주일전 (09/22),"1,480",1개월전,954,1년전,"1,022",일평년,"1,022"
붉은고추,붉은고추(100g),상품,100g,당일 (10/06),"2,306",243,04,1일전 (10/05),"2,296",1주일전 (09/29),-,2주일전 (09/22),"2,439",1개월전,"1,596",1년전,"2,080",일평년,"1,657"
양파,양파(1kg),상품,1kg,당일 (10/06),"2,297",245,04,1일전 (10/05),"2,258",1주일전 (09/29),-,2주일전 (09/22),"2,026",1개월전,"2,058",1년전,"2,635",일평년,"2,014"
대파,대파(1kg),상품,1kg,당일 (10/06),"3,820",246,04,1일전 (10/05),"3,691",1주일전 (09/29),-,2주일전 (09/22),"3,258",1개월전,"3,300",1년전,"3,141",일평년,"3,549"
쪽파,쪽파(1kg),상품,1kg,당일 (10/06),"11,498",246,04,1일전 (10/05),"11,047",1주일전 (09/29),-,2주일전 (09/22),"9,630",1개월전,"9,654",1년전,"8,727",일평년,"6,912"
생강,국산(1kg),상품,1kg,당일 (10/06),"20,263",247,04,1일전 (10/05),"20,263",1주일전 (09/29),-,2주일전 (09/22),"22,184",1개월전,"20,766",1년전,"8,750",일평년,"12,439"
고춧가루,국산(1kg),상품,1kg,당일 (10/06),"39,020",248,04,1일전 (10/05),"40,331",1주일전 (09/29),-,2주일전 (09/22),"39,887",1개월전,"36,256",1년전,"31,624",일평년,"32,449"
