item_name,kind_name,rank,unit,day1,dpr1,item_code,rank_code,day2,dpr2,day3,dpr3,day4,dpr4,day5,dpr5,day6,dpr6,day7,dpr7
쌀,20kg(1kg),상품,20kg,당일 (08/13),"2,534",111,04,1일전 (08/12),"2,534",1주일전 (08/06),"2,506",2주일전 (07/30),"2,531",1개월전,"2,608",1년전,"2,635",일평년,"2,606"
찹쌀,일반계(1kg),상품,1kg,당일 (08/13),"4,139",112,04,1일전 (08/12),"4,139",1주일전 (08/06),"4,239",2주일전 (07/30),"4,003",1개월전,"3,813",1년전,"3,391",일평년,"4,056"
콩,흰 콩(국산)(1kg),상품,500g,당일 (08/13),"10,017",141,04,1일전 (08/12),"10,017",1주일전 (08/06),"10,017",2주일전 (07/30),"10,606",1개월전,"10,620",1년전,"10,991",일평년,"10,833"
팥,붉은 팥(국산)(1kg),상품,500g,당일 (08/13),"21,056",142,04,1일전 (08/12),"21,056",1주일전 (08/06),"21,160",2주일전 (07/30),"20,862",1개월전,"20,834",1년전,"15,082",일평년,"16,148"
녹두,국산(1kg),상품,500g,당일 (08/13),"23,789",143,04,1일전 (08/12),"23,789",1주일전 (08/06),"23,789",2주일전 (07/30),"21,960",1개월전,"23,065",1년전,"22,397",일평년,"20,147"
고구마,밤(1kg),상품,1kg,당일 (08/13),"6,264",151,04,1일전 (08/12),"5,953",1주일전 (08/06),"6,098",2주일전 (07/30),"6,070",1개월전,"5,768",1년전,"6,838",일평년,"6,746"
감자,수미(노지)(1kg),상품,100g,당일 (08/13),"3,097",152,04,1일전 (08/12),"3,096",1주일전 (08/06),"3,070",2주일전 (07/30),"3,001",1개월전,"2,913",1년전,"3,291",일평년,"2,918"
메밀,메밀(수입)(1kg),중품,1kg,당일 (08/13),"3,000",144,05,1일전 (08/12),"3,000",1주일전 (08/06),"3,100",2주일전 (07/30),"3,100",1개월전,"3,150",1년전,"3,850",일평년,"3,683"
배추,여름(고랭지)(1포기),상품,1포기,당일 (08/13),"6,114",211,04,1일전 (08/12),"6,225",1주일전 (08/06),"5,421",2주일전 (07/30),"5,380",1개월전,-,1년전,"5,531",일평년,"5,272"
고랭지배추,여름(고랭지)(1포기),상품,1포기,당일 (08/13),"6,114",211,04,1일전 (08/12),"6,225",1주일전 (08/06),"5,421",2주일전 (07/30),"5,380",1개월전,-,1년전,"5,531",일평년,"5,272"
양배추,양배추(1포기),상품,1포기,당일 (08/13),"3,976",212,04,1일전 (08/12),"4,422",1주일전 (08/06),"4,060",2주일전 (07/30),"3,695",1개월전,"2,891",1년전,"4,901",일평년,"3,930"
시금치,시금치(1kg),상품,100g,당일 (08/13),"19,522",213,04,1일전 (08/12),"19,556",1주일전 (08/06),"18,078",2주일전 (07/30),"17,378",1개월전,"14,242",1년전,"20,340",일평년,"19,278"
