item_name,kind_name,rank,unit,day1,dpr1,item_code,rank_code,day2,dpr2,day3,dpr3,day4,dpr4,day5,dpr5,day6,dpr6,day7,dpr7
쌀,20kg(1kg),상품,20kg,당일 (07/15),"2,612",111,04,1일전 (07/14),-,1주일전 (07/08),"2,640",2주일전 (07/01),"2,657",1개월전,"2,631",1년전,"2,476",일평년,"2,559"
찹쌀,일반계(1kg),상품,1kg,당일 (07/15),"3,802",112,04,1일전 (07/14),-,1주일전 (07/08),"3,931",2주일전 (07/01),"4,166",1개월전,"3,982",1년전,"3,671",일평년,"4,159"
콩,흰 콩(국산)(1kg),상품,500g,당일 (07/15),"10,620",141,04,1일전 (07/14),-,1주일전 (07/08),"10,620",2주일전 (07/01),"10,620",1개월전,"10,043",1년전,"10,411",일평년,"10,773"
팥,붉은 팥(국산)(1kg),상품,500g,당일 (07/15),"20,862",142,04,1일전 (07/14),-,1주일전 (07/08),"20,129",2주일전 (07/01),"20,129",1개월전,"20,498",1년전,"15,452",일평년,"16,403"
녹두,국산(1kg),상품,500g,당일 (07/15),"22,846",143,04,1일전 (07/14),-,1주일전 (07/08),"24,666",2주일전 (07/01),"25,523",1개월전,"25,409",1년전,"23,333",일평년,"19,930"
고구마,밤(1kg),상품,1kg,당일 (07/15),"5,738",151,04,1일전 (07/14),-,1주일전 (07/08),"5,962",2주일전 (07/01),"5,696",1개월전,"5,677",1년전,"5,838",일평년,"6,457"
감자,수미(노지)(1kg),상품,100g,당일 (07/15),"2,978",152,04,1일전 (07/14),-,1주일전 (07/08),"2,963",2주일전 (07/01),"3,108",1개월전,"3,896",1년전,"3,784",일평년,"3,253"
메밀,메밀(수입)(1kg),중품,1kg,당일 (07/15),"3,150",144,05,1일전 (07/14),-,1주일전 (07/08),"3,000",2주일전 (07/01),"3,000",1개월전,"3,000",1년전,"4,000",일평년,"3,423"
양배추,양배추(1포기),상품,1포기,당일 (07/15),"2,893",212,04,1일전 (07/14),-,1주일전 (07/08),"3,386",2주일전 (07/01),"3,398",1개월전,"4,399",1년전,"3,760",일평년,"3,393"
시금치,시금치(1kg),상품,100g,당일 (07/15),"15,222",213,04,1일전 (07/14),-,1주일전 (07/08),"12,143",2주일전 (07/01),"9,394",1개월전,"7,201",1년전,"15,332",일평년,"12,369"
상추,적(1kg),상품,100g,당일 (07/15),"21,963",214,04,1일전 (07/14),-,1주일전 (07/08),"12,450",2주일전 (07/01),"10,700",1개월전,"9,289",1년전,"18,739",일평년,"14,891"
적상추,적(1kg),상품,100g,당일 (07/15),"21,963",214,04,1일전 (07/14),-,1주일전 (07/08),"12,450",2주일전 (07/01),"10,700",1개월전,"9,289",1년전,"18,739",일평년,"14,891"
청상추,청(1kg),상품,100g,당일 (07/15),"22,675",214,04,1일전 (07/14),-,1주일전 (07/08),"13,125",2주일전 (07/01),"11,913",1개월전,"9,704",1년전,"18,491",일평년,"15,578"
얼갈이배추,얼갈이배추(1kg),상품,1kg,당일 (07/15),"3,243",215,04,1일전 (07/14),-,1주일전 (07/08),"3,144",2주일전 (07/01),"2,591",1개월전,"2,331",1년전,"3,266",일평년,"2,714"
수박,수박(1개),상품,1개,당일 (07/15),"22,033",221,04,1일전 (07/14),-,1주일전 (07/08),"21,188",2주일전 (07/01),"21,288",1개월전,"20,714",1년전,"21,594",일평년,"20,341"
참외,참외(10개),상품,10개,당일 (07/15),"13,333",222,04,1일전 (07/14),-,1주일전 (07/08),"11,688",2주일전 (07/01),"12,461",1개월전,"17,013",1년전,"16,382",일평년,"14,269"
오이,가시계통(10개),상품,10개,당일 (07/15),"12,400",223,04,1일전 (07/14),-,1주일전 (07/08),"11,600",2주일전 (07/01),"9,960",1개월전,"9,445",1년전,"16,200",일평년,"13,328"
