item_name,kind_name,rank,unit,day1,dpr1,item_code,rank_code,day2,dpr2,day3,dpr3,day4,dpr4,day5,dpr5,day6,dpr6,day7,dpr7
쌀,20kg(1kg),상품,20kg,당일 (07/24),"2,619",111,04,1일전 (07/23),"2,619",1주일전 (07/17),"2,623",2주일전 (07/10),"2,634",1개월전,"2,639",1년전,"2,506",일평년,"2,572"
찹쌀,일반계(1kg),상품,1kg,당일 (07/24),"3,967",112,04,1일전 (07/23),"4,058",1주일전 (07/17),"4,036",2주일전 (07/10),"3,843",1개월전,"4,198",1년전,"3,470",일평년,"4,086"
콩,흰 콩(국산)(1kg),상품,500g,당일 (07/24),"10,606",141,04,1일전 (07/23),"10,606",1주일전 (07/17),"10,620",2주일전 (07/10),"10,620",1개월전,"10,620",1년전,"10,894",일평년,"11,125"
팥,붉은 팥(국산)(1kg),상품,500g,당일 (07/24),"20,862",142,04,1일전 (07/23),"20,862",1주일전 (07/17),"20,862",2주일전 (07/10),"20,129",1개월전,"20,378",1년전,"15,082",일평년,"16,195"
녹두,국산(1kg),상품,500g,당일 (07/24),"21,131",143,04,1일전 (07/23),"22,531",1주일전 (07/17),"23,053",2주일전 (07/10),"24,094",1개월전,"25,523",1년전,"23,333",일평년,"19,072"
고구마,밤(1kg),상품,1kg,당일 (07/24),"6,014",151,04,1일전 (07/23),"5,378",1주일전 (07/17),"5,666",2주일전 (07/10),"5,772",1개월전,"5,880",1년전,"5,783",일평년,"6,782"
감자,수미(노지)(1kg),상품,100g,당일 (07/24),"2,926",152,04,1일전 (07/23),"2,926",1주일전 (07/17),"2,993",2주일전 (07/10),"2,851",1개월전,"3,278",1년전,"3,897",일평년,"3,207"
메밀,메밀(수입)(1kg),중품,1kg,당일 (07/24),"3,150",144,05,1일전 (07/23),"3,150",1주일전 (07/17),"3,150",2주일전 (07/10),"3,000",1개월전,"3,000",1년전,"4,000",일평년,"3,433"
배추,여름(고랭지)(1포기),상품,1포기,당일 (07/24),"4,875",211,04,1일전 (07/23),"4,740",1주일전 (07/17),-,2주일전 (07/10),-,1개월전,-,1년전,"4,170",일평년,"4,408"
고랭지배추,여름(고랭지)(1포기),상품,1포기,당일 (07/24),"4,875",211,04,1일전 (07/23),"4,740",1주일전 (07/17),-,2주일전 (07/10),-,1개월전,-,1년전,"4,170",일평년,"4,408"
양배추,양배추(1포기),상품,1포기,당일 (07/24),"3,206",212,04,1일전 (07/23),"3,206",1주일전 (07/17),"2,975",2주일전 (07/10),"3,188",1개월전,"3,859",1년전,"3,487",일평년,"3,246"
